HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
dh,5,287,0.0,328.0,0,0,0,0,0,157,328
eg,1046,144,785.0,3232.0,785,792,847,891,1020,2792,3232
ip,64,379,11.0,1074.0,15,15,23,29,40,675,1074
vp,4893,96,328.0,20079.0,328,328,1125,3781,6923,20079,20079
ir,648,24,149.0,2110.0,149,149,256,308,959,2110,2110
knn,107,144,1.0,1029.0,1,1,2,7,9,982,1029
alu,4128,35,0.0,20255.0,0,0,515,1475,3594,20255,20255
ms,30,17002,5.0,10540.0,13,16,20,23,26,104,9767
gd,809,32,156.0,3579.0,156,156,265,437,632,3579,3579
dv,6363,1,6363.0,6363.0,6363,6363,6363,6363,6363,6363,6363
