HashFunction,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
dh,21643,119,90,106,111,115,126,145,154,162
eg,17237,193,193,193,193,193,193,193,193,194
ip,16840,123,101,105,121,123,131,132,140,170
vp,17241,104,102,102,104,104,105,107,108,109
ir,6363,183,156,165,168,173,201,209,218,243
knn,17253,282,268,273,282,283,284,286,286,286
alu,19999,137,126,129,136,138,140,146,151,151
ms,21922,282,174,188,274,284,295,317,392,404
gd,11192,184,168,169,169,196,197,202,203,210
dv,532,205,189,200,205,205,208,209,223,224
